"SITE_NO","RSQA_STUDY","RSQA_STUDY_DESC","STATION_NM","LAT_VA","LONG_VA","DEC_LAT_VA","DEC_LONG_VA","COORD_METH_DESC","COORD_ACY_DESC","COORD_DATUM_CD","COUNTY_NM","STATE_NM","STATE_ABBREV"
"11159500       ","CSQA","California Stream-Quality Assessment","PAJARO R A WATSONVILLE CA"," 365420.20 "," 1214506.80 ","36.9056111111111","-121.751888888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Cruz County","California","CA"
"374933122001301","CSQA","California Stream-Quality Assessment","SAN RAMON C A LA GONDA WAY A DANVILLE CA"," 374932.56 "," 1220012.74 ","37.8257111111111","-122.003538888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11164500       ","CSQA","California Stream-Quality Assessment","SAN FRANCISQUITO C A STANFORD UNIVERSITY CA"," 372524    "," 1221118    ","37.4232725715098","-122.189409548307","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Clara County","California","CA"
"372500122081201","CSQA","California Stream-Quality Assessment","MATADERO C A JOSINA AVE A PALO ALTO CA"," 372500.48 "," 1220811.73 ","37.4168","-122.136591666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11152000       ","CSQA","California Stream-Quality Assessment","ARROYO SECO NR SOLEDAD CA"," 361650    "," 1211918    ","36.2805207613727","-121.322706287074","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"11150500       ","CSQA","California Stream-Quality Assessment","SALINAS R NR BRADLEY CA"," 355549    "," 1205204    ","35.930243431508","-120.86879146182","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Monterey County","California","CA"
"364003121373501","CSQA","California Stream-Quality Assessment","ALISAL C A FAIRVIEW AVE NR SALINAS CA"," 364002.10 "," 1213737.20 ","36.66725","-121.627","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"11152650       ","CSQA","California Stream-Quality Assessment","RECLAMATION DITCH NR SALINAS CA"," 364218    "," 1214214    ","36.7049586119891","-121.704947504011","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"365736121250801","CSQA","California Stream-Quality Assessment","PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA"," 365736.00 "," 1212508.39 ","36.96","-121.418997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Benito County","California","CA"
"365634121264001","CSQA","California Stream-Quality Assessment","TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA"," 365633.72 "," 1212640.20 ","36.9427","-121.4445","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Benito County","California","CA"
"364155121363901","CSQA","California Stream-Quality Assessment","NATIVIDAD C NR SALINAS CA"," 364155.32 "," 1213638.60 ","36.6987","-121.610722222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"364138121373701","CSQA","California Stream-Quality Assessment","GABILAN C AB E LAUREL DR NR SALINAS CA"," 364138.27 "," 1213738.11 ","36.6939638888889","-121.627252777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"11152600       ","CSQA","California Stream-Quality Assessment","GABILAN C NR SALINAS CA"," 364521    "," 1213634    ","36.7557919612139","-121.610500501905","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"363608121255201","CSQA","California Stream-Quality Assessment","CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA"," 363607.92 "," 1212551.59 ","36.6022","-121.430997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"371620122005801","CSQA","California Stream-Quality Assessment","SARATOGA C A BRAEMAR DR A SARATOGA CA"," 371620.10 "," 1220058.64 ","37.27225","-122.016288888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371738121555901","CSQA","California Stream-Quality Assessment","LOS GATOS C A E HAMILTON AVE NR CAMPBELL CA"," 371738.04 "," 1215558.80 ","37.2939","-121.933","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371814121525601","CSQA","California Stream-Quality Assessment","GUADALUPE R A WILLOW GLEN WAY NR SAN JOSE CA"," 371814.21 "," 1215256.10 ","37.3039472222222","-121.88225","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371554121474101","CSQA","California Stream-Quality Assessment","COYOTE C A COYOTE RD NR SAN JOSE CA"," 371553.78 "," 1214740.77 ","37.2649388888889","-121.794658333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11466200       ","CSQA","California Stream-Quality Assessment","SANTA ROSA C A SANTA ROSA CA"," 382612    "," 1224325    ","38.4365787018881","-122.724709574378","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Sonoma County","California","CA"
"382346122521201","CSQA","California Stream-Quality Assessment","UNNAMED TRIB A MONTGOMERY RD NR SEBASTOPOL CA"," 382346.05 "," 1225212.14 ","38.396125","-122.870038888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11466320       ","CSQA","California Stream-Quality Assessment","SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA"," 382643    "," 1224822    ","38.4451902615927","-122.807212855113","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"11466800       ","CSQA","California Stream-Quality Assessment","MARK WEST C NR MIRABEL HEIGHTS CA"," 382939    "," 1225108    ","38.4940783784242","-122.853325788863","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"383039122502401","CSQA","California Stream-Quality Assessment","WINDSOR C A MARK WEST STATION RD NR WINDSOR CA"," 383039.34 "," 1225024.39 ","38.5109277777778","-122.840108333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11466170       ","CSQA","California Stream-Quality Assessment","MATANZAS C A SANTA ROSA CA"," 382620    "," 1224205    ","38.4388007283927","-122.702486704192","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"11465350       ","CSQA","California Stream-Quality Assessment","DRY C NR MOUTH NR HEALDSBURG CA"," 383515    "," 1225140    ","38.5874104563475","-122.862215921667","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Sonoma County","California","CA"
"383719122462501","CSQA","California Stream-Quality Assessment","MAACAMA C A CHALK HILL RD BR NR HEALDSBURG CA"," 383719.05 "," 1224625.28 ","38.6219583333333","-122.773688888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11169025       ","CSQA","California Stream-Quality Assessment","GUADALUPE R ABV HWY 101 A SAN JOSE CA"," 372226    "," 1215555    ","37.3738296053131","-121.933012850008","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Santa Clara County","California","CA"
"365955121350601","CSQA","California Stream-Quality Assessment","UVAS C A MILLER AVE A GILROY CA"," 365954.72 "," 1213505.85 ","36.9985333333333","-121.584958333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"370512121361901","CSQA","California Stream-Quality Assessment","LLAGAS C A SAN MARTIN AVE A SAN MARTIN CA"," 370512.27 "," 1213618.74 ","37.0867416666667","-121.605205555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11176900       ","CSQA","California Stream-Quality Assessment","ARROYO DE LA LAGUNA A VERONA CA"," 373736    "," 1215255    ","37.6265991482216","-121.883012556168","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Alameda County","California","CA"
"374708122132801","CSQA","California Stream-Quality Assessment","SAUSAL C A OAKLAND CA"," 374708.45 "," 1221327.62 ","37.7856805555556","-122.224338888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Alameda County","California","CA"
"374336122095801","CSQA","California Stream-Quality Assessment","SAN LEANDRO C A ALVARADO ST A SAN LEANDRO CA"," 374335.79 "," 1220958.24 ","37.7266083333333","-122.166177777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Alameda County","California","CA"
"11182500       ","CSQA","California Stream-Quality Assessment","SAN RAMON C A SAN RAMON CA"," 374623    "," 1215937    ","37.7729830238255","-121.994682477291","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Contra Costa County","California","CA"
"11180900       ","CSQA","California Stream-Quality Assessment","CROW C NR HAYWARD CA"," 374218    "," 1220234    ","37.7049300770073","-122.043850807461","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Alameda County","California","CA"
"11460000       ","CSQA","California Stream-Quality Assessment","CORTE MADERA C A ROSS CA"," 375747    "," 1223321    ","37.9629794738688","-122.556922092372","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Marin County","California","CA"
"11159200       ","CSQA","California Stream-Quality Assessment","CORRALITOS C A FREEDOM CA"," 365622    "," 1214610    ","36.9393968095687","-121.770506476745","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Cruz County","California","CA"
"11153650       ","CSQA","California Stream-Quality Assessment","LLAGAS C NR GILROY"," 365915    "," 1213134    ","36.9874485844921","-121.527162172623","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Santa Clara County","California","CA"
"11169800       ","CSQA","California Stream-Quality Assessment","COYOTE C NR GILROY CA"," 370440    "," 1212936    ","37.0777228588934","-121.494383217862","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Clara County","California","CA"
"11153470       ","CSQA","California Stream-Quality Assessment","LLAGAS C AB CHESBRO RES NR MORGAN HILL CA"," 370854    "," 1214606    ","37.1483333333333","-121.768333333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"375819122035801","CSQA","California Stream-Quality Assessment","GRAYSON C A GOLF CLUB RD NR PLEASANT HILL CA"," 375819.20 "," 1220357.60 ","37.972","-122.066","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11181000       ","CSQA","California Stream-Quality Assessment","SAN LORENZO C A HAYWARD CA"," 374108    "," 1220348    ","37.6854864443737","-122.06440702692","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Alameda County","California","CA"
"11179100       ","CSQA","California Stream-Quality Assessment","ALAMEDA C NR FREMONT CA"," 373400    "," 1220002    ","37.5666024525516","-122.001627784168","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Alameda County","California","CA"
"11181008       ","CSQA","California Stream-Quality Assessment","CASTRO VALLEY C A HAYWARD CA"," 374048    "," 1220446    ","37.67993112739","-122.080518632331","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Alameda County","California","CA"
"372303121542901","CSQA","California Stream-Quality Assessment","COYOTE C BL CHARCOT AVE NR SAN JOSE CA"," 372303.48 "," 1215428.80 ","37.3843","-121.908","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11182400       ","CSQA","California Stream-Quality Assessment","ARROYO DEL HAMBRE A MARTINEZ CA"," 380012    "," 1220744    ","38.0032551254723","-122.129965086248","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Contra Costa County","California","CA"
"375413122033301","CSQA","California Stream-Quality Assessment","WALNUT C A CIVIC DR A WALNUT CREEK CA"," 375413.21 "," 1220333.18 ","37.9036694444444","-122.059216666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"375257122050001","CSQA","California Stream-Quality Assessment","LAS TRAMPAS C A LAFAYETTE CA"," 375256.63 "," 1220559.99 ","37.8823972222222","-122.099997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"375220122104201","CSQA","California Stream-Quality Assessment","SAN PABLO C A MORAGA WAY A ORINDA CA"," 375152.23 "," 1221020.30 ","37.8645083333333","-122.172305555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"375312122113501","CSQA","California Stream-Quality Assessment","SAN PABLO C A ORINDA CA"," 375311.59 "," 1221135.23 ","37.8865527777778","-122.193119444444","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"375808122172601","CSQA","California Stream-Quality Assessment","WILKIE C A SANTA RITA RD NR RICHMOND CA"," 375807.83 "," 1221725.99 ","37.9688416666667","-122.290552777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"375746122195501","CSQA","California Stream-Quality Assessment","SAN PABLO C A EL PORTAL DR A SAN PABLO CA"," 375746.08 "," 1221955.19 ","37.9628","-122.331997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11458300       ","CSQA","California Stream-Quality Assessment","NAPA C A NAPA"," 381807    "," 1221810    ","38.3018587968237","-122.303863358125","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Napa County","California","CA"
"375701121564401","CSQA","California Stream-Quality Assessment","MT DIABLO C A CLAYTON CA"," 375701.31 "," 1215644.33 ","37.9503638888889","-121.945647222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11459500       ","CSQA","California Stream-Quality Assessment","NOVATO C A NOVATO CA"," 380628    "," 1223444    ","38.1076977537919","-122.579981487155","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Marin County","California","CA"
"382634122315201","CSQA","California Stream-Quality Assessment","SONOMA C A ADOBE CYN RD NR KENWOOD CA"," 382633.72 "," 1223151.60 ","38.4427","-122.531","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"375807122124001","CSQA","California Stream-Quality Assessment","PINOLE C BL ALHAMBRA VALLEY RD NR PINOLE CA"," 375807.15 "," 1221239.59 ","37.9686527777778","-122.210997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11148900       ","CSQA","California Stream-Quality Assessment","NACIMIENTO R BL SAPAQUE C NR BRYSON CA"," 354719    "," 1210534    ","35.7885791842615","-121.093804758793","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","San Luis Obispo County","California","CA"
"372716122080801","CSQA","California Stream-Quality Assessment","SAN FRANCISQUITO C DS OF NEWELL RD BR A PALO ALTO"," 372716    "," 1220808    ","37.4543832149312","-122.136630512986","Interpolated from map","Accurate to +/- 1 second","NAD27     ","San Mateo County","California","CA"
"382619122531401","CSQA","California Stream-Quality Assessment","GREEN VALLEY C A GRATON CA"," 382619.32 "," 1225313.60 ","38.4387","-122.887111111111","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"382035121575501","CSQA","California Stream-Quality Assessment","ALAMO C A TULARE RD BR NR VACAVILLE CA"," 382035.10 "," 1215755.26 ","38.3430833333333","-121.96535","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Solano County","California","CA"
"382245122001601","CSQA","California Stream-Quality Assessment","ULATIS C A FARRELL RD NR VACAVILLE CA"," 382245.01 "," 1220015.55 ","38.3791694444444","-122.004319444444","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Solano County","California","CA"
"11465690       ","CSQA","California Stream-Quality Assessment","COLGAN C NR SANTA ROSA CA"," 382408    "," 1224355    ","38.4021352439566","-122.733043374549","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"383321122302101","CSQA","California Stream-Quality Assessment","NAPA R A BALE LN NR DEER PARK CA"," 383321.24 "," 1223021.60 ","38.5559","-122.506","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Napa County","California","CA"
"380410122315501","CSQA","California Stream-Quality Assessment","ARROYO SAN JOSE A DIGITAL DR NR NOVATO CA"," 380410.19 "," 1223155.19 ","38.0694972222222","-122.531997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Marin County","California","CA"
"11456500       ","CSQA","California Stream-Quality Assessment","CONN C NR OAKVILLE CA"," 382650.20 "," 1222250    ","38.4472777777778","-122.380555555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Napa County","California","CA"
"382017122161101","CSQA","California Stream-Quality Assessment","MILLIKEN C BL HEDGESIDE AVE NR NAPA CA"," 382017    "," 1221611    ","38.3380555555556","-122.269722222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Napa County","California","CA"
"381441122064301","CSQA","California Stream-Quality Assessment","SUISUN C A ROCKVILLE CA"," 381441.27 "," 1220643.19 ","38.2447972222222","-122.111997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Solano County","California","CA"
"11141280       ","CSQA","California Stream-Quality Assessment","LOPEZ C NR ARROYO GRANDE CA"," 351408    "," 1202817    ","35.2355303548372","-120.472385712549","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","San Luis Obispo County","California","CA"
"383305122311901","CSQA","California Stream-Quality Assessment","RITCHEY C NR DEER PARK CA"," 383305.04 "," 1223119.20 ","38.5514","-122.522","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Napa County","California","CA"
"383109122363301","CSQA","California Stream-Quality Assessment","MARK WEST C A TARWATER RD NR CALISTOGA CA"," 383108.57 "," 1223633.20 ","38.5190472222222","-122.609222222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11135250       ","CSQA","California Stream-Quality Assessment","SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA"," 344035.82 "," 1203312.20 ","34.6766166666667","-120.553388888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Barbara County","California","CA"
"11458500       ","CSQA","California Stream-Quality Assessment","SONOMA C A AGUA CALIENTE CA"," 381924    "," 1222936    ","38.3232470463256","-122.494425756178","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"381556122280201","CSQA","California Stream-Quality Assessment","SONOMA C A WATMAUGH RD BR NR SONOMA CA"," 381556.87 "," 1222802.63 ","38.2657972222222","-122.467397222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11465660       ","CSQA","California Stream-Quality Assessment","COPELAND C A ROHNERT PARK CA"," 382036    "," 1224203    ","38.3432477610146","-122.701931747514","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"381740122395901","CSQA","California Stream-Quality Assessment","LICHAU C A PENNGROVE CA"," 381740.13 "," 1223958.90 ","38.2944805555556","-122.666361111111","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"381519122385601","CSQA","California Stream-Quality Assessment","PETALUMA R NR PETALUMA CA"," 381519.07 "," 1223856.40 ","38.2552972222222","-122.649","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"380345122345201","CSQA","California Stream-Quality Assessment","ARROYO SAN JOSE A FAIRWAY DR NR NOVATO CA"," 380344.63 "," 1223451.60 ","38.0623972222222","-122.581","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Marin County","California","CA"
"352127120484501","CSQA","California Stream-Quality Assessment","CHORRO C A CHORRO C RD NR MORRO BAY CA"," 352127.03 "," 1204844.87 ","35.3575083333333","-120.812463888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Luis Obispo County","California","CA"
"11128500       ","CSQA","California Stream-Quality Assessment","SANTA YNEZ R A SOLVANG CA"," 343506    "," 1200837    ","34.5849870625316","-120.144592644537","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Barbara County","California","CA"
"365718121444301","CSQA","California Stream-Quality Assessment","UNNAMED TRIB A PAULSEN RD NR FREEDOM CA"," 365717.99 "," 1214443.08 ","36.9549972222222","-121.7453","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Cruz County","California","CA"
"352934120395501","CSQA","California Stream-Quality Assessment","ATASCADERO C A W MALL BR A ATASCADERO CA"," 352934.38 "," 1203954.59 ","35.4928833333333","-120.665163888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Luis Obispo County","California","CA"
"11141050       ","CSQA","California Stream-Quality Assessment","ORCUTT C NR ORCUTT CA"," 345301    "," 1202938    ","34.8835903695974","-120.494888258948","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Barbara County","California","CA"
"351725120395901","CSQA","California Stream-Quality Assessment","STENNER C A MURRAY AVE A SAN LUIS OBISPO CA"," 351725.44 "," 1203958.75 ","35.2904","-120.666319444444","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Luis Obispo County","California","CA"
"11159000       ","CSQA","California Stream-Quality Assessment","PAJARO R A CHITTENDEN CA"," 365401    "," 1213548    ","36.9002306960237","-121.597721487878","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Cruz County","California","CA"
"351436120405201","CSQA","California Stream-Quality Assessment","SAN LUIS OBISPO C A LOS OSOS VLY RD NR SAN LUIS OB"," 351436    "," 1204052    ","35.2433333333333","-120.681111111111","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","San Luis Obispo County","California","CA"
